X,Y
-8.784811039565522,-2.7131767534208264
-5.442253456935228,-1.5232082149610093
-5.129784314042806,-0.7318295042539305
-8.511201307393204,-1.6418825093176672
-7.989246792816191,-2.834789842590888
-7.825658949201891,-3.4091938124856105
-5.41912175407185,-1.4832238299883265
-9.501433375234738,-1.8412590783473142
-5.7893261094613555,-1.1002978587486365
-8.398441255260463,-2.1289730114561727
-8.884628287724228,-2.892186195965683
-5.386685413150701,-0.9203304862726522
-5.449948919733016,-1.3053332992211795
-5.534041098394845,-1.503950687708273
-8.95757382230458,-1.9451117736036876
-5.929250157762968,-1.4890778192865723
-5.188523448102874,-0.8291021584310434
-8.628971030604756,-2.069566217555319
-5.3796300427501516,-0.9652330839866605
-9.180805071478236,-1.9978666852246536
-8.546860444580714,-2.916777864246652
-8.866055904707032,-2.388052319351166
-4.874759285506817,-0.9151965768686876
-4.919747694999418,-1.0819800681266651
-9.913445650007358,-2.333227063372636
-4.348042266713756,-1.6424286443504839
-8.668374840289301,-2.535293691657381
-4.610672277751694,-0.8952284646809774
-7.775539929821336,-2.0574509514285086
-8.404198240493033,-2.39804135549895
-9.22478805481294,-2.09013734073422
-8.325133207170701,-1.8690998251029791
-8.988736275747863,-2.040318556926966
-9.35726347644896,-2.9321578579781242
-9.011858643126928,-2.1992536623273655
-8.23584477571132,-3.012753747796019
-4.807192327440795,-0.022184587301040448
-8.373649888301193,-2.3390042725610574
-9.082734222290126,-2.2576582662481726
-7.948558553857955,-2.4392467438417635
-5.673998622356915,-0.7055156481474951
-7.3295252048620965,-1.7424120156333078
-8.975177366078668,-2.518795307039623
-8.476657955643224,-3.2309439878950874
-8.200348617384892,-2.0332919459488044
-4.913091408672412,-1.3012477456870148
-8.292166057800259,-2.5059481888844646
-4.55031181938814,-1.2662718864316935
-4.607485889135032,-2.2221151832357036
-7.723579387338077,-2.868556906015885
-9.16349186100369,-1.9998906992509502
-5.107402850963439,-1.4767536999179
-7.448439462170967,-2.2076725061083096
-9.070826127558286,-2.3998226079965344
-4.996448794282499,-1.2355018107520659
-6.012561271172965,-1.9626232946882347
-4.76252772965014,-2.6734216180804715
-5.402349708826862,-0.24298377242783364
-5.599197682769064,-1.1772499438175965
-8.225105463805537,-2.9737080571489045
-5.063956410005606,-1.0314052753440088
-5.364654956395526,-1.1944515446766155
-7.802683020228855,-1.7092792597622761
-4.625093966554524,-0.7750992403636519
-5.023555249268873,-1.1609688838971257
-6.3053645585437526,-0.5947236318655206
-5.078619295243921,-1.6587993683301123
-9.213148655270004,-1.9499390354532355
-8.187196972641248,-2.015841595475549
-4.733854650986706,-1.6590501531657906
-8.489344268989854,-2.358767307989131
-8.518023418341018,-1.6201462074565107
-5.491948336695157,-2.535865181682217
-8.943011562136407,-3.1022607658033245
-5.124262564670459,-1.8592495181151265
-8.785954676349641,-1.7625121078308745
-5.3697344056056515,-1.3760816644686986
-7.81985716728693,-1.6178873457333034
-5.1986684907630405,-1.9843837091124716
-5.115344331702076,-1.1879233844098924
-4.651328635759683,-1.413146074776502
-7.8791770135983095,-2.811428925935156
-5.482629466017479,-1.3378178773709826
-8.062460877098255,-2.366917940285464
-5.229836273930124,-1.4803971629394315
-5.41232206276191,-0.48279956732192497
-4.602151314554797,-1.7982666921965744
-5.371830686993003,-0.9470083903153365
-9.702626555348976,-2.4521659124348436
-4.321448448721845,-1.2253919156941575
-4.17228355962677,-1.9861010299974704
-5.68802026060626,-2.0448066343718247
-9.04589326446849,-2.720869645567754
-8.483037999014476,-3.067669147485538
-5.193520062306667,-1.3413530787608396
-9.00890146833509,-2.435047055428641
-5.1921510663585035,-1.2367383209871767
-8.164452633130917,-1.854059092300195
-5.7928416933896445,-1.981043026147713
-4.2471464447019915,-2.0286609102004416
